,precision,recall,f1-score,support
Bored,0.4022264702575059,0.3577,0.3786587625046313,20000.0
Interested,0.35505102348891976,0.588,0.44275441436692897,20000.0
Lacking_Focus,0.5283585409252669,0.23874371859296484,0.32887996677280906,19900.0
accuracy,0.39507512520868115,0.39507512520868115,0.39507512520868115,0.39507512520868115
macro avg,0.42854534489056423,0.3948145728643216,0.38343104788145643,59900.0
weighted avg,0.4283787118420923,0.39507512520868115,0.38352211813372467,59900.0
